Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2021-05-15,RUS,Russian Fed.,Jewish AO,48.480815,131.765737,4476,140,4302,34,,,False,False,RU79
2021-05-15,RUS,Russian Fed.,Kabardino-Balkaria,43.346964,43.521389,24074,460,23290,324,,,False,False,RU19
2021-05-15,RUS,Russian Fed.,Kaliningrad,54.706026,21.456853,32637,455,31245,937,,,False,False,RU20
2021-05-15,RUS,Russian Fed.,Kalmykia,46.421462,45.383808,20615,361,19943,311,,,False,False,RU21
2021-05-15,RUS,Russian Fed.,Kaluga,54.355521,35.465025,34866,322,33110,1434,,,False,False,RU22
2021-05-15,RUS,Russian Fed.,Kamchatka,61.434398,166.788413,14572,231,13922,419,,,False,False,RU23
2021-05-15,RUS,Russian Fed.,Karachay-Cherkessia,43.884514,41.730394,20248,95,19944,209,,,False,False,RU24
2021-05-15,RUS,Russian Fed.,Kemerovo,54.775411,87.209993,36047,693,34780,574,,,False,False,RU26
2021-05-15,RUS,Russian Fed.,Khabarovsk,50.88285,138.828598,52040,394,49993,1653,,,False,False,RU27
2021-05-15,RUS,Russian Fed.,Khakassia,53.363558,89.854091,22683,540,21726,417,,,False,False,RU28
2021-05-15,RUS,Russian Fed.,Khanty-Mansi AO,61.853095,70.345732,56727,795,55486,446,,,False,False,RU29
2021-05-15,RUS,Russian Fed.,Kirov,58.699332,49.846004,43039,355,40449,2235,,,False,False,RU30
2021-05-15,RUS,Russian Fed.,Komi Republic,64.131117,54.772128,43657,928,42347,382,,,False,False,RU31
2021-05-15,RUS,Russian Fed.,Kostroma,58.452918,43.818089,21015,457,18306,2252,,,False,False,RU32
2021-05-15,RUS,Russian Fed.,Krasnodar,44.412298,39.233582,46928,2844,41659,2425,,,False,False,RU33
2021-05-15,RUS,Russian Fed.,Krasnoyarsk,67.008246,95.991218,71958,3635,66279,2044,,,False,False,RU34
2021-05-15,RUS,Russian Fed.,Kurgan,55.471375,64.816337,20861,403,19514,944,,,False,False,RU35
2021-05-15,RUS,Russian Fed.,Kursk,51.702506,36.127326,37439,759,35467,1213,,,False,False,RU36
2021-05-15,RUS,Russian Fed.,Leningrad,59.999111,31.74764,43813,1292,41067,1454,,,False,False,RU37
2021-05-15,RUS,Russian Fed.,Lipetsk,52.634465,39.187179,30753,696,27796,2261,,,False,False,RU38
2021-05-15,RUS,Russian Fed.,Magadan,62.70596,154.035695,8390,103,8203,84,,,False,False,RU39
2021-05-15,RUS,Russian Fed.,Mari El,56.601523,47.942953,13277,233,12767,277,,,False,False,RU40
2021-05-15,RUS,Russian Fed.,Mordovia,54.520508,45.58471,20500,258,18353,1889,,,False,False,RU41
2021-05-15,RUS,Russian Fed.,Moscow,55.644315,37.666104,1393739,25171,1236129,132439,,,False,False,RU42
2021-05-15,RUS,Russian Fed.,Murmansk,67.805244,34.572247,50704,1183,47923,1598,,,False,False,RU43
2021-05-15,RUS,Russian Fed.,Nenets,,,1097,4,1088,5,,,False,False,
2021-05-15,RUS,Russian Fed.,Nizhny Novgorod,56.279395,44.645749,115839,3390,111174,1275,,,False,False,RU44
2021-05-15,RUS,Russian Fed.,North Ossetia-Alania,43.053883,44.325278,16871,201,16202,468,,,False,False,RU45
2020-05-11,RUS,Russian Fed.,NOT SPECIFIED,,,0,2116,0,-2116,0,0,False,False,
2021-05-15,RUS,Russian Fed.,Novgorod,58.280449,32.556615,30424,134,29119,1171,,,False,False,RU46
2021-05-15,RUS,Russian Fed.,Novosibirsk,55.268094,79.765183,42184,1812,38371,2001,,,False,False,RU47
2021-05-15,RUS,Russian Fed.,Omsk,56.091609,73.362497,46534,1406,44123,1005,,,False,False,RU48
2021-05-15,RUS,Russian Fed.,Orenburg,52.670841,53.546526,43244,915,39432,2897,,,False,False,RU50
2021-05-15,RUS,Russian Fed.,Oryol,52.792407,36.484837,34875,631,32892,1352,,,False,False,RU49
2021-05-15,RUS,Russian Fed.,Penza,53.186558,44.659811,46099,720,43477,1902,,,False,False,RU51
2021-05-15,RUS,Russian Fed.,Perm,59.150725,56.240625,55916,2314,50567,3035,,,False,False,RU52
2021-05-15,RUS,Russian Fed.,Primorsky,45.185147,134.763918,43897,722,41248,1927,,,False,False,RU53
2021-05-15,RUS,Russian Fed.,Pskov,57.223881,29.258821,37031,368,30294,6369,,,False,False,RU54
2021-05-15,RUS,Russian Fed.,Republic of Crimea,45.332961,34.380235,56383,1939,52094,2350,,,False,False,RU58
2021-05-15,RUS,Russian Fed.,Republic of Karelia,63.15587,32.990555,46345,507,44552,1286,,,False,False,RU25
2021-05-15,RUS,Russian Fed.,Rostov,47.737084,41.33971,91130,4211,81608,5311,,,False,False,RU55
2021-05-15,RUS,Russian Fed.,Ryazan,54.306865,40.654571,28478,487,26937,1054,,,False,False,RU56
2021-05-15,RUS,Russian Fed.,Saint Petersburg,59.771022,30.094098,426615,13726,388915,23974,,,False,False,RU14
2021-05-15,RUS,Russian Fed.,Sakhalin,50.334829,142.702744,22720,44,22304,372,,,False,False,RU57
2021-05-15,RUS,Russian Fed.,Samara,53.288173,50.470943,63175,1707,60327,1141,,,False,False,RU59
2021-05-15,RUS,Russian Fed.,Saratov,51.590364,46.830634,60869,999,56017,3853,,,False,False,RU60
2021-05-15,RUS,Russian Fed.,Smolensk,54.928337,33.012683,30134,941,28395,798,,,False,False,RU61
2021-05-15,RUS,Russian Fed.,Stavropol,44.927805,43.400088,53833,1431,51013,1389,,,False,False,RU62
2021-05-15,RUS,Russian Fed.,Sverdlovsk,58.614763,61.561667,87698,3253,81522,2923,,,False,False,RU63
2021-05-15,RUS,Russian Fed.,Tambov,52.657489,41.637192,32135,503,29779,1853,,,False,False,RU64
2021-05-15,RUS,Russian Fed.,Tatarstan,55.380928,50.93665,20978,478,17971,2529,,,False,False,RU65
2021-05-15,RUS,Russian Fed.,Tomsk,58.476777,82.134382,32470,417,31421,632,,,False,False,RU66
2021-05-15,RUS,Russian Fed.,Tula,53.879118,37.584039,39270,1949,36828,493,,,False,False,RU67
2021-05-15,RUS,Russian Fed.,Tuva,94.79304,51.591419,15882,202,15610,70,,,False,False,RU68
2021-05-15,RUS,Russian Fed.,Tver,57.063361,34.74855,40958,960,38630,1368,,,False,False,RU69
2021-05-15,RUS,Russian Fed.,Tyumen,57.665236,69.167506,35897,502,34252,1143,,,False,False,RU70
2021-05-15,RUS,Russian Fed.,Udmurtia,57.189719,52.811319,33389,899,30273,2217,,,False,False,RU71
2021-05-15,RUS,Russian Fed.,Ulyanovsk,53.904749,47.963072,54637,1285,51938,1414,,,False,False,RU72
2021-05-15,RUS,Russian Fed.,Vladimir,55.994787,40.691957,32744,1149,30297,1298,,,False,False,RU73
2021-05-15,RUS,Russian Fed.,Volgograd,49.599612,44.184682,58329,1201,55644,1484,,,False,False,RU74
2021-05-15,RUS,Russian Fed.,Vologda,59.970929,40.523416,45422,1058,42426,1938,,,False,False,RU75
2021-05-15,RUS,Russian Fed.,Voronezh,50.959752,40.309955,82666,2763,78088,1815,,,False,False,RU76
2021-05-15,RUS,Russian Fed.,Yakutia,65.300749,134.148224,36743,631,33183,2929,,,False,False,RU12
2021-05-15,RUS,Russian Fed.,Yamalo-Nenets AO,65.264795,74.023346,38800,417,37606,777,,,False,False,RU77
2021-05-15,RUS,Russian Fed.,Yaroslavl,57.862116,39.167901,39816,567,38029,1220,,,False,False,RU78
2021-05-15,RUS,Russian Fed.,Zabaykalsky,52.83932,116.196137,42700,650,41281,769,,,False,False,RU80
2021-05-14,SMR,San Marino,San Marino,43.942973,12.460035,5083,90,4968,25,,,False,False,SM
2021-05-14,SRB,Serbia,Serbia,44.206802,20.911009,705185,6646,0,698539,,,False,True,
2021-05-15,SVK,Slovakia,Banská Bystrica,48.51568,19.499999,37661,,,37661,,,True,True,SK032
2021-05-15,SVK,Slovakia,Bratislava,48.319003,17.17481,43998,,,43998,,,True,True,SK010
2021-05-15,SVK,Slovakia,Košice,48.771358,20.721931,52213,,,52213,,,True,True,SK042
2021-05-15,SVK,Slovakia,Nitra,48.140652,18.30311,38987,,,38987,,,True,True,SK023
2021-05-15,SVK,Slovakia,NOT SPECIFIED,,,,12203,,-12203,741,92,True,True,
2021-05-15,SVK,Slovakia,Prešov,49.126441,21.221321,59280,,,59280,,,True,True,SK041
2021-05-15,SVK,Slovakia,Trencín,48.858564,18.202196,52739,,,52739,,,True,True,SK022
2021-05-15,SVK,Slovakia,Trnava,48.222651,17.707847,54366,,,54366,,,True,True,SK021
2021-05-15,SVK,Slovakia,Zilina,49.178517,19.167163,57176,,,57176,,,True,True,SK031
2020-04-15,SVN,Slovenia,Gorenjske,46.304671,14.137367,0,0,0,0,0,0,True,True,SI042
2020-04-15,SVN,Slovenia,Goriške,46.097666,13.774357,0,0,0,0,0,0,True,True,SI043
2020-04-15,SVN,Slovenia,Jugovzhodne,45.711878,15.012014,0,0,0,0,0,0,True,True,SI037
2020-04-15,SVN,Slovenia,Koroške,46.533032,15.087509,0,0,0,0,0,0,True,True,SI033
2021-05-12,SVN,Slovenia,NOT SPECIFIED,,,248048,4626,13592,229830,450,123,True,True,
2020-04-15,SVN,Slovenia,Obalno-kraške,45.62157,13.972922,0,0,0,0,0,0,True,True,SI044
2020-04-15,SVN,Slovenia,Osrednjeslovenske,46.029176,14.58787,0,0,0,0,0,0,True,True,SI041
2020-04-15,SVN,Slovenia,Podravske,46.474579,15.744954,0,0,0,0,0,0,True,True,SI032
2020-04-15,SVN,Slovenia,Pomurske,46.669889,16.174305,0,0,0,0,0,0,True,True,SI031
2020-04-15,SVN,Slovenia,Posavske,45.959782,15.434177,0,0,0,0,0,0,True,True,SI036
2020-04-15,SVN,Slovenia,Primorsko-notranjske,45.691165,14.290304,0,0,0,0,0,0,True,True,SI038
